% mean local velocity field arround single cell
% x y    vx vy v
-6.000 -4.000   NaN NaN NaN
-6.000 -3.500   NaN NaN NaN
-6.000 -3.000   NaN NaN NaN
-6.000 -2.500   NaN NaN NaN
-6.000 -2.000   NaN NaN NaN
-6.000 -1.500   NaN NaN NaN
-6.000 -1.000   NaN NaN NaN
-6.000 -0.500   NaN NaN NaN
-6.000 0.000   NaN NaN NaN

-5.500 -9.500   NaN NaN NaN
-5.500 -9.000   NaN NaN NaN
-5.500 -8.500   NaN NaN NaN
-5.500 -8.000   NaN NaN NaN
-5.500 -7.500   NaN NaN NaN
-5.500 -7.000   NaN NaN NaN
-5.500 -6.500   NaN NaN NaN
-5.500 -6.000   NaN NaN NaN
-5.500 -5.500   NaN NaN NaN
-5.500 -5.000   NaN NaN NaN
-5.500 -4.500   NaN NaN NaN
-5.500 -4.000   NaN NaN NaN
-5.500 -3.500   NaN NaN NaN
-5.500 -3.000   NaN NaN NaN
-5.500 -2.500   NaN NaN NaN
-5.500 -2.000   NaN NaN NaN
-5.500 -1.500   NaN NaN NaN
-5.500 -1.000   NaN NaN NaN
-5.500 -0.500   NaN NaN NaN
-5.500 0.000   NaN NaN NaN

-5.000 -9.500   NaN NaN NaN
-5.000 -9.000   NaN NaN NaN
-5.000 -8.500   NaN NaN NaN
-5.000 -8.000   NaN NaN NaN
-5.000 -7.500   NaN NaN NaN
-5.000 -7.000   NaN NaN NaN
-5.000 -6.500   NaN NaN NaN
-5.000 -6.000   NaN NaN NaN
-5.000 -5.500   NaN NaN NaN
-5.000 -5.000   NaN NaN NaN
-5.000 -4.500   NaN NaN NaN
-5.000 -4.000   NaN NaN NaN
-5.000 -3.500   NaN NaN NaN
-5.000 -3.000   NaN NaN NaN
-5.000 -2.500   NaN NaN NaN
-5.000 -2.000   NaN NaN NaN
-5.000 -1.500   NaN NaN NaN
-5.000 -1.000   NaN NaN NaN
-5.000 -0.500   NaN NaN NaN
-5.000 0.000   NaN NaN NaN

-4.500 -9.500   NaN NaN NaN
-4.500 -9.000   NaN NaN NaN
-4.500 -8.500   NaN NaN NaN
-4.500 -8.000   NaN NaN NaN
-4.500 -7.500   NaN NaN NaN
-4.500 -7.000   NaN NaN NaN
-4.500 -6.500   NaN NaN NaN
-4.500 -6.000   NaN NaN NaN
-4.500 -5.500   NaN NaN NaN
-4.500 -5.000   NaN NaN NaN
-4.500 -4.500   NaN NaN NaN
-4.500 -4.000   NaN NaN NaN
-4.500 -3.500   -0.000278 -0.000935 0.000975
-4.500 -3.000   NaN NaN NaN
-4.500 -2.500   -0.000969 0.000242 0.000998
-4.500 -2.000   NaN NaN NaN
-4.500 -1.500   -0.000000 -0.000000 0.000000
-4.500 -1.000   -0.001036 -0.001037 0.001465
-4.500 -0.500   NaN NaN NaN
-4.500 0.000   NaN NaN NaN

-4.000 -9.500   NaN NaN NaN
-4.000 -9.000   NaN NaN NaN
-4.000 -8.500   NaN NaN NaN
-4.000 -8.000   NaN NaN NaN
-4.000 -7.500   NaN NaN NaN
-4.000 -7.000   NaN NaN NaN
-4.000 -6.500   NaN NaN NaN
-4.000 -6.000   NaN NaN NaN
-4.000 -5.500   NaN NaN NaN
-4.000 -5.000   NaN NaN NaN
-4.000 -4.500   NaN NaN NaN
-4.000 -4.000   NaN NaN NaN
-4.000 -3.500   NaN NaN NaN
-4.000 -3.000   NaN NaN NaN
-4.000 -2.500   NaN NaN NaN
-4.000 -2.000   NaN NaN NaN
-4.000 -1.500   NaN NaN NaN
-4.000 -1.000   -0.000496 -0.000811 0.000951
-4.000 -0.500   NaN NaN NaN
-4.000 0.000   -0.003170 -0.000458 0.003203

-3.500 -9.500   NaN NaN NaN
-3.500 -9.000   NaN NaN NaN
-3.500 -8.500   NaN NaN NaN
-3.500 -8.000   NaN NaN NaN
-3.500 -7.500   NaN NaN NaN
-3.500 -7.000   NaN NaN NaN
-3.500 -6.500   NaN NaN NaN
-3.500 -6.000   NaN NaN NaN
-3.500 -5.500   NaN NaN NaN
-3.500 -5.000   NaN NaN NaN
-3.500 -4.500   NaN NaN NaN
-3.500 -4.000   NaN NaN NaN
-3.500 -3.500   NaN NaN NaN
-3.500 -3.000   NaN NaN NaN
-3.500 -2.500   -0.000942 -0.001881 0.002104
-3.500 -2.000   NaN NaN NaN
-3.500 -1.500   NaN NaN NaN
-3.500 -1.000   NaN NaN NaN
-3.500 -0.500   NaN NaN NaN
-3.500 0.000   -0.001494 -0.001748 0.002300

-3.000 -9.500   NaN NaN NaN
-3.000 -9.000   NaN NaN NaN
-3.000 -8.500   NaN NaN NaN
-3.000 -8.000   NaN NaN NaN
-3.000 -7.500   NaN NaN NaN
-3.000 -7.000   NaN NaN NaN
-3.000 -6.500   NaN NaN NaN
-3.000 -6.000   NaN NaN NaN
-3.000 -5.500   NaN NaN NaN
-3.000 -5.000   0.000320 0.000780 0.000843
-3.000 -4.500   NaN NaN NaN
-3.000 -4.000   NaN NaN NaN
-3.000 -3.500   NaN NaN NaN
-3.000 -3.000   NaN NaN NaN
-3.000 -2.500   NaN NaN NaN
-3.000 -2.000   0.001180 0.001989 0.002313
-3.000 -1.500   NaN NaN NaN
-3.000 -1.000   0.000786 0.001265 0.001489
-3.000 -0.500   -0.001316 -0.000800 0.001540
-3.000 0.000   0.000000 -0.000000 0.000000

-2.500 -9.500   NaN NaN NaN
-2.500 -9.000   NaN NaN NaN
-2.500 -8.500   NaN NaN NaN
-2.500 -8.000   NaN NaN NaN
-2.500 -7.500   NaN NaN NaN
-2.500 -7.000   NaN NaN NaN
-2.500 -6.500   NaN NaN NaN
-2.500 -6.000   NaN NaN NaN
-2.500 -5.500   NaN NaN NaN
-2.500 -5.000   NaN NaN NaN
-2.500 -4.500   NaN NaN NaN
-2.500 -4.000   NaN NaN NaN
-2.500 -3.500   -0.001155 0.001388 0.001805
-2.500 -3.000   0.000738 0.000911 0.001173
-2.500 -2.500   0.000000 0.000000 0.000000
-2.500 -2.000   NaN NaN NaN
-2.500 -1.500   NaN NaN NaN
-2.500 -1.000   0.000000 -0.000000 0.000000
-2.500 -0.500   0.000016 -0.001524 0.001524
-2.500 0.000   NaN NaN NaN

-2.000 -9.500   NaN NaN NaN
-2.000 -9.000   NaN NaN NaN
-2.000 -8.500   NaN NaN NaN
-2.000 -8.000   NaN NaN NaN
-2.000 -7.500   NaN NaN NaN
-2.000 -7.000   NaN NaN NaN
-2.000 -6.500   NaN NaN NaN
-2.000 -6.000   NaN NaN NaN
-2.000 -5.500   NaN NaN NaN
-2.000 -5.000   NaN NaN NaN
-2.000 -4.500   NaN NaN NaN
-2.000 -4.000   NaN NaN NaN
-2.000 -3.500   0.000355 -0.001275 0.001324
-2.000 -3.000   -0.000509 -0.002116 0.002177
-2.000 -2.500   NaN NaN NaN
-2.000 -2.000   NaN NaN NaN
-2.000 -1.500   -0.003038 0.001334 0.003318
-2.000 -1.000   0.000000 -0.000000 0.000000
-2.000 -0.500   0.000000 0.000000 0.000000
-2.000 0.000   0.000000 -0.000000 0.000000

-1.500 -9.500   NaN NaN NaN
-1.500 -9.000   NaN NaN NaN
-1.500 -8.500   NaN NaN NaN
-1.500 -8.000   NaN NaN NaN
-1.500 -7.500   NaN NaN NaN
-1.500 -7.000   NaN NaN NaN
-1.500 -6.500   NaN NaN NaN
-1.500 -6.000   NaN NaN NaN
-1.500 -5.500   NaN NaN NaN
-1.500 -5.000   NaN NaN NaN
-1.500 -4.500   0.001821 0.002859 0.003390
-1.500 -4.000   NaN NaN NaN
-1.500 -3.500   0.000605 -0.000725 0.000944
-1.500 -3.000   NaN NaN NaN
-1.500 -2.500   NaN NaN NaN
-1.500 -2.000   -0.000000 0.000000 0.000000
-1.500 -1.500   0.002940 -0.000123 0.002942
-1.500 -1.000   -0.000575 0.001830 0.001918
-1.500 -0.500   NaN NaN NaN
-1.500 0.000   NaN NaN NaN

-1.000 -9.500   NaN NaN NaN
-1.000 -9.000   NaN NaN NaN
-1.000 -8.500   NaN NaN NaN
-1.000 -8.000   NaN NaN NaN
-1.000 -7.500   NaN NaN NaN
-1.000 -7.000   NaN NaN NaN
-1.000 -6.500   NaN NaN NaN
-1.000 -6.000   NaN NaN NaN
-1.000 -5.500   NaN NaN NaN
-1.000 -5.000   NaN NaN NaN
-1.000 -4.500   NaN NaN NaN
-1.000 -4.000   NaN NaN NaN
-1.000 -3.500   0.002892 -0.000477 0.002931
-1.000 -3.000   NaN NaN NaN
-1.000 -2.500   0.001884 0.000054 0.001884
-1.000 -2.000   -0.000000 0.000000 0.000000
-1.000 -1.500   0.001577 0.001693 0.002314
-1.000 -1.000   NaN NaN NaN
-1.000 -0.500   NaN NaN NaN
-1.000 0.000   NaN NaN NaN

-0.500 -9.500   NaN NaN NaN
-0.500 -9.000   NaN NaN NaN
-0.500 -8.500   NaN NaN NaN
-0.500 -8.000   NaN NaN NaN
-0.500 -7.500   NaN NaN NaN
-0.500 -7.000   NaN NaN NaN
-0.500 -6.500   NaN NaN NaN
-0.500 -6.000   NaN NaN NaN
-0.500 -5.500   NaN NaN NaN
-0.500 -5.000   NaN NaN NaN
-0.500 -4.500   NaN NaN NaN
-0.500 -4.000   -0.007413 0.001519 0.007567
-0.500 -3.500   NaN NaN NaN
-0.500 -3.000   NaN NaN NaN
-0.500 -2.500   0.000000 0.000000 0.000000
-0.500 -2.000   -0.001257 -0.000275 0.001287
-0.500 -1.500   NaN NaN NaN
-0.500 -1.000   NaN NaN NaN
-0.500 -0.500   NaN NaN NaN
-0.500 0.000   NaN NaN NaN

0.000 -9.500   NaN NaN NaN
0.000 -9.000   NaN NaN NaN
0.000 -8.500   NaN NaN NaN
0.000 -8.000   NaN NaN NaN
0.000 -7.500   NaN NaN NaN
0.000 -7.000   NaN NaN NaN
0.000 -6.500   NaN NaN NaN
0.000 -6.000   NaN NaN NaN
0.000 -5.500   NaN NaN NaN
0.000 -5.000   NaN NaN NaN
0.000 -4.500   NaN NaN NaN
0.000 -4.000   NaN NaN NaN
0.000 -3.500   0.001073 0.004700 0.004821
0.000 -3.000   NaN NaN NaN
0.000 -2.500   NaN NaN NaN
0.000 -2.000   -0.000000 -0.000000 0.000000
0.000 -1.500   NaN NaN NaN
0.000 -1.000   NaN NaN NaN
0.000 -0.500   NaN NaN NaN
0.000 0.000   NaN NaN NaN

